Promotion Seen,Timestamp
WelcomeBackKudosCoachmarkImpression,1696983691
WelcomeBackKudosCoachmarkImpression,1696984375
WelcomeBackKudosCoachmarkImpression,1696984378
WelcomeBackKudosCoachmarkImpression,1699187841
WelcomeBackKudosCoachmarkImpression,1700766621
WelcomeBackKudosCoachmarkImpression,1701751892
WelcomeBackKudosCoachmarkImpression,1701751922
WelcomeBackKudosCoachmarkImpression,1703282086
WelcomeBackKudosCoachmarkImpression,1703282089
WelcomeBackKudosCoachmarkImpression,1703980743
WelcomeBackKudosCoachmarkImpression,1704765081
WelcomeBackKudosCoachmarkDismissed,1679078794
WelcomeBackKudosCoachmarkDismissed,1680988512
RouteFromActivityMoreOptionsButtonCoachmark,1637265454
RouteFromActivitySaveButtonCoachmark,1637851171
MapVisibilitySettingCogCoachmark,1672711023
MapVisibilityNewLabelCoachmark,1701751985
MapVisibilitySettingRowCoachmark,1662156261
Map3dEducationVisibility,1645791965
RouteLongPressCoachmark,1647088334
WinbackNotificationSeen,1647985941
WinbackNotificationSeen,1648336842
WinbackNotificationSeen,1650240996
WinbackNotificationSeen,1651326266
WinbackNotificationSeen,1654083049
WinbackNotificationSeen,1654697794
WinbackNotificationSeen,1655250396
WinbackNotificationSeen,1657595376
WinbackNotificationSeen,1659827362
WinbackNotificationSeen,1660756103
WinbackNotificationSeen,1661144806
WinbackNotificationSeen,1665854277
WinbackNotificationSeen,1667687318
WinbackNotificationSeen,1669243137
WinbackNotificationSeen,1669667047
WinbackNotificationSeen,1670691686
WinbackNotificationSeen,1671760550
WinbackNotificationSeen,1673043922
WinbackNotificationSeen,1673391696
WinbackNotificationSeen,1673996484
WinbackNotificationSeen,1674754311
WinbackNotificationSeen,1676084625
WinbackNotificationSeen,1678056219
WinbackNotificationSeen,1679076695
WinbackNotificationSeen,1679611113
WinbackNotificationSeen,1680988177
WinbackNotificationSeen,1681587719
WinbackNotificationSeen,1682773609
WinbackNotificationSeen,1684084852
WinbackNotificationSeen,1684790507
WinbackNotificationSeen,1686278988
WinbackNotificationSeen,1686846176
WinbackNotificationSeen,1688312079
WinbackNotificationSeen,1688913939
WinbackNotificationSeen,1690983033
WinbackNotificationSeen,1692622083
WinbackNotificationSeen,1695526060
WinbackNotificationSeen,1696081505
WinbackNotificationSeen,1696982268
WinbackNotificationSeen,1699186812
WinbackNotificationSeen,1700764719
WinbackNotificationSeen,1701729271
WinbackNotificationSeen,1703194147
WinbackNotificationSeen,1704477744
MentionsSettingCogCoachmark,1672711023
MentionsNewLabelCoachmark,1701751985
MentionsSettingRowCoachmark,1662156261
DirtSportsSportPicker,1655045649
DirtSportsSportPicker,1655145845
DirtSportsSportPicker,1655252220
DirtSportsGoals,1674494754
DirtSportsGoals,1674494788
DirtSportsGoals,1676246126
MapsTabDirtSports,1654801772
OfflineMapsFirstTimeExperience,1657196923
OfflineMapsFirstTimeExperience,1657209387
OfflineMapsFirstTimeExperience,1657285421
OfflineMapsFirstTimeExperience,1657286393
OfflineMapsFirstTimeExperience,1657396367
OfflineMapsFirstTimeExperience,1657488822
OfflineMapsFirstTimeExperience,1657544059
OfflineMapsFirstTimeExperience,1657551691
OfflineMapsFirstTimeExperience,1657629992
OfflineMapsFirstTimeExperience,1657663463
OfflineMapsFirstTimeExperience,1657713303
OfflineMapsFirstTimeExperience,1657890062
OfflineMapsFirstTimeExperience,1657890131
OfflineMapsFirstTimeExperience,1657890156
OfflineMapsFirstTimeExperience,1657891772
OfflineMapsFirstTimeExperience,1657902669
OfflineMapsFirstTimeExperience,1657934409
OfflineMapsFirstTimeExperience,1657938305
OfflineMapsFirstTimeExperience,1657941489
OfflineMapsFirstTimeExperience,1657969327
OfflineMapsFirstTimeExperience,1658004299
OfflineMapsFirstTimeExperience,1658004407
OfflineMapsFirstTimeExperience,1658020516
OfflineMapsFirstTimeExperience,1658159869
OfflineMapsFirstTimeExperience,1658170377
OfflineMapsFirstTimeExperience,1658240204
OfflineMapsFirstTimeExperience,1658240209
OfflineMapsFirstTimeExperience,1658246962
OfflineMapsFirstTimeExperience,1658285593
OfflineMapsFirstTimeExperience,1658318067
OfflineMapsFirstTimeExperience,1658399187
OfflineMapsFirstTimeExperience,1658485703
OfflineMapsFirstTimeExperience,1658616035
OfflineMapsFirstTimeExperience,1658616041
OfflineMapsFirstTimeExperience,1658659936
OfflineMapsFirstTimeExperience,1658665529
OfflineMapsFirstTimeExperience,1658672731
OfflineMapsFirstTimeExperience,1658693827
OfflineMapsFirstTimeExperience,1658704746
OfflineMapsFirstTimeExperience,1658747240
OfflineMapsFirstTimeExperience,1658802766
OfflineMapsFirstTimeExperience,1658835165
OfflineMapsFirstTimeExperience,1658884705
OfflineMapsFirstTimeExperience,1658919872
OfflineMapsFirstTimeExperience,1658928612
OfflineMapsFirstTimeExperience,1658938095
OfflineMapsFirstTimeExperience,1658939739
OfflineMapsFirstTimeExperience,1658942577
OfflineMapsFirstTimeExperience,1659006664
OfflineMapsFirstTimeExperience,1659006670
OfflineMapsFirstTimeExperience,1659006674
OfflineMapsFirstTimeExperience,1659013159
OfflineMapsFirstTimeExperience,1659093039
OfflineMapsFirstTimeExperience,1659100818
OfflineMapsFirstTimeExperience,1659127312
OfflineMapsFirstTimeExperience,1659132001
OfflineMapsFirstTimeExperience,1659210667
OfflineMapsFirstTimeExperience,1659239798
OfflineMapsFirstTimeExperience,1659269413
OfflineMapsFirstTimeExperience,1659277795
OfflineMapsFirstTimeExperience,1659280477
OfflineMapsFirstTimeExperience,1659363632
OfflineMapsFirstTimeExperience,1659881659
OfflineMapsFirstTimeExperience,1659893842
OfflineMapsFirstTimeExperience,1660683247
OfflineMapsFirstTimeExperience,1661605932
OfflineMapsFirstTimeExperience,1661605983
OfflineMapsFirstTimeExperience,1661611746
OfflineMapsFirstTimeExperience,1661614505
OfflineMapsFirstTimeExperience,1661624034
OfflineMapsFirstTimeExperience,1661628247
OfflineMapsFirstTimeExperience,1661667918
OfflineMapsFirstTimeExperience,1661725340
OfflineMapsFirstTimeExperience,1661729560
OfflineMapsFirstTimeExperience,1662131477
OfflineMapsFirstTimeExperience,1662133117
OfflineMapsFirstTimeExperience,1662149349
OfflineMapsFirstTimeExperience,1662149599
OfflineMapsFirstTimeExperience,1662151406
OfflineMapsFirstTimeExperience,1662177413
OfflineMapsFirstTimeExperience,1664594821
OfflineMapsFirstTimeExperience,1665504308
OfflineMapsFirstTimeExperience,1665507615
OfflineMapsFirstTimeExperience,1665518653
OfflineMapsFirstTimeExperience,1665859443
OfflineMapsFirstTimeExperience,1665862816
OfflineMapsFirstTimeExperience,1665863681
OfflineMapsFirstTimeExperience,1665869010
OfflineMapsFirstTimeExperience,1666018915
OfflineMapsFirstTimeExperience,1666044764
OfflineMapsFirstTimeExperience,1666116798
OfflineMapsFirstTimeExperience,1666185347
OfflineMapsFirstTimeExperience,1666295408
OfflineMapsFirstTimeExperience,1666295643
OfflineMapsFirstTimeExperience,1666300481
OfflineMapsFirstTimeExperience,1666315708
OfflineMapsFirstTimeExperience,1666374573
OfflineMapsFirstTimeExperience,1666374581
OfflineMapsFirstTimeExperience,1666374586
OfflineMapsFirstTimeExperience,1666380961
OfflineMapsFirstTimeExperience,1666381030
OfflineMapsFirstTimeExperience,1666381036
OfflineMapsFirstTimeExperience,1666381046
OfflineMapsFirstTimeExperience,1666386102
OfflineMapsFirstTimeExperience,1666386125
OfflineMapsFirstTimeExperience,1666389976
OfflineMapsFirstTimeExperience,1666392674
OfflineMapsFirstTimeExperience,1666438769
OfflineMapsFirstTimeExperience,1666456447
OfflineMapsFirstTimeExperience,1666469811
OfflineMapsFirstTimeExperience,1666470024
OfflineMapsFirstTimeExperience,1666472740
OfflineMapsFirstTimeExperience,1666476394
OfflineMapsFirstTimeExperience,1666482919
OfflineMapsFirstTimeExperience,1666561837
OfflineMapsFirstTimeExperience,1667007060
OfflineMapsFirstTimeExperience,1667249211
OfflineMapsFirstTimeExperience,1667262553
OfflineMapsFirstTimeExperience,1667265509
OfflineMapsFirstTimeExperience,1667742811
