Date,Route ID
"Aug 27, 2022, 1:13:19 PM",2998596845008477534
"Jul 7, 2022, 12:34:43 PM",2980105351721368640
"Sep 4, 2021, 8:37:48 PM",2869336234331368592
"Jul 12, 2023, 9:57:59 PM",3114330610945782840
"Nov 26, 2023, 6:50:14 PM",3163930499401596578
"Nov 12, 2023, 12:56:40 PM",3158768092015083198
"Jun 19, 2021, 11:36:29 PM",2841477339273675502
"Jul 5, 2022, 1:46:06 PM",2979398537835377018
"May 6, 2023, 7:07:04 PM",3080138413579454540
"Aug 11, 2021, 11:44:55 AM",2860504824687391162
"Jun 6, 2021, 1:03:36 PM",2836607027014342954
"Mar 19, 2023, 9:27:35 PM",3072648354353326128
"Sep 25, 2023, 8:22:24 PM",3141485645580966106
"Feb 25, 2022, 6:49:24 PM",2932364444821133312
"Nov 29, 2022, 7:42:03 PM",3032759133072463628
"Oct 1, 2023, 12:09:34 PM",3143535947608119682
"Jul 2, 2021, 8:34:02 PM",2846142466076152926
"May 13, 2021, 7:27:26 PM",2828006310151830680
"Jul 10, 2022, 1:52:57 AM",2981031008509034412
"May 17, 2021, 1:14:34 AM",2829180833704857210
"May 2, 2021, 3:26:00 AM",2823778090676098636
"Aug 5, 2021, 10:44:46 AM",2858315358175236690
"Oct 29, 2023, 4:05:17 AM",3153560932111454434
"Aug 4, 2023, 10:39:09 PM",3122675891396544730
"Dec 25, 2023, 8:08:34 PM",3174459459940422432
"May 2, 2021, 3:28:48 AM",2823778796167581370
"May 12, 2023, 2:33:50 PM",3092113175213522812
"Nov 18, 2022, 10:06:24 PM",3028809191299535880
"Aug 31, 2023, 11:27:41 AM",3132291384578808338
"Oct 24, 2023, 11:44:06 AM",3151864459419117358
"Aug 5, 2023, 3:54:57 PM",3122936559633260988
"Jan 3, 2021, 6:30:07 PM",2780881465587050442
"Mar 25, 2023, 4:43:04 AM",3074569884524012170
"Jun 4, 2023, 1:37:58 PM",3100434037464842954
"Jun 9, 2021, 11:45:31 AM",2837674539714343908
"May 31, 2021, 8:54:20 PM",2834551162614250686
