Comment Date,Comment
"Feb 11, 2021, 10:51:17 PM",Bruh why do u have a 4 day weekend? I do too but Ive got Monday and Tuesday off so I guess it's not a holiday?
"Feb 11, 2021, 10:55:13 PM",Ah makes sense lol
"Feb 12, 2021, 12:38:05 AM",Uhhhhhhh I think they're calling it a mid-winter break so I'm guessing there's no good reason.
"Feb 12, 2021, 12:40:23 AM",Nope lol
"Feb 16, 2021, 10:53:03 PM",You know you're too used to running flats when 370 feet in elevation feels like a mountain.(not that I'm any better lol)
"Feb 17, 2021, 1:56:24 AM",Owen  Carter Yeah I saw lol
"Feb 18, 2021, 9:37:23 PM",Rip so you didn't see it blow up?
"Feb 18, 2021, 9:43:32 PM",Gosh darn siblings
"Feb 20, 2021, 6:38:18 PM",Ditto
"Feb 22, 2021, 10:40:35 PM",The .. at the end there had me thinking there was more lol
"Feb 27, 2021, 11:42:36 PM",Nice race!
"Feb 28, 2021, 10:52:30 PM",37 and pouring rain... I've run in worse but usually with others.
"Mar 1, 2021, 10:41:51 PM",My advice is to do some calf stretches against a wall so your shins don't get worse
"Mar 3, 2021, 9:46:45 PM",Lol I swear everything feels slower when you're doing it in a mask.
"Mar 3, 2021, 10:13:18 PM",Lol this was a workout so not exactly shooting for overall speed and yeah I guess I'm building back up but I need to add in my runs to practice and start doing more on the weekends
"Mar 4, 2021, 10:57:29 PM",Was the conversation about the optimal route for exiting the wrestling room?
"Mar 4, 2021, 10:57:57 PM",Nice core-on-a-bike
"Mar 5, 2021, 12:56:08 AM",Uhhhhhhhhhhhhhh I mean I could guess but *wink* *wink* has me scared
"Mar 7, 2021, 11:48:18 PM",I remember freaking out over 2 inches of water in middle school lol
"Mar 7, 2021, 11:59:24 PM",Hehe imagine going to a moderately large school
"Mar 8, 2021, 12:00:20 AM",Point taken Owen  Carter weren't we all
"Mar 8, 2021, 12:00:35 AM",Whoopsie
"Mar 9, 2021, 12:49:10 AM",The ladder half of a latter
"Mar 11, 2021, 12:56:22 AM",Ayyyyyyyyyyyyyyyyyy
"Mar 13, 2021, 3:08:42 AM",I believe that one year ago today I told y'all I was moving.  Might have been last week idk lol.
"Mar 16, 2021, 11:30:43 PM",Noooo andrew
"Mar 18, 2021, 10:11:47 PM",Yup lol I thought abt just running outside but I think it's still good to do some rowing for my shin occasionally and it's easier when you're not alone and are dying with others
"Mar 18, 2021, 10:12:49 PM",That thing abt taking off layers and feeling faster is so true
"Mar 20, 2021, 9:47:19 PM",Geez that 5:58 is crazy
"Mar 20, 2021, 9:49:01 PM",PLANET KILLERRRRRRR (greenconsumerproject.org)
"Mar 25, 2021, 2:04:05 AM",Oof that's the worst feeling esp at the end of a workout
"Mar 25, 2021, 9:48:55 PM",Yummmm
"Mar 25, 2021, 10:15:42 PM",Impressive run? Anyway good job on all those segments.
"Mar 26, 2021, 12:25:08 AM",Geez gotta get those hurdle skillz
"Apr 2, 2021, 5:24:07 PM",Yeah I suppose lol because the last time I ran a mile officially was indoor with my 5:43:44 so...
"Apr 2, 2021, 5:36:14 PM",Longest walk niceeeeeeee
"Apr 2, 2021, 5:37:31 PM",Next u gotta go up the slopes on skis
"Apr 5, 2021, 9:25:37 PM",Man I miss these routes
"Apr 7, 2021, 11:06:42 AM",New shoes?
"Apr 7, 2021, 11:07:32 AM",Ayyyyyyyyyyyy
"Apr 7, 2021, 11:09:43 AM",Nice lol
"Apr 9, 2021, 2:17:04 AM",U can go sub 2:20 ez
"Apr 9, 2021, 2:17:32 AM",Better than mineeeeeeeeeee
"Apr 9, 2021, 2:24:46 AM",Owen  Carter if you want to feel like you crushed your two just look at mineeeeeeeeeee
"Apr 9, 2021, 4:00:10 AM","I personally guarantee that if you can go sub 5 in the mile you can go sub 2:20.  This is, however, coming from someone who has done neither and is basing this purely upon one 2:25 in practice on a gravel track."
"Apr 10, 2021, 11:36:14 PM",Uhhhhhhh I suppose a lot of ppl are driving now so idk shane
"Apr 11, 2021, 1:41:30 AM",oof thats gotta be complicated with insurance and stufff.  Is nick alright?
"Apr 11, 2021, 1:46:31 AM",Ya sucks for the other person bc they gonna have to pay all that
"Apr 12, 2021, 9:11:21 PM",lol tru but what you cant see are the like four or five times I stopped unnecessarily thinking I could clear up some ailement
"Apr 14, 2021, 9:12:48 PM",Oh the 46:46 yeah cool
"Apr 16, 2021, 3:36:55 AM",Indeed... Looking forward to coming back to Pittsburgh at some point and getting these
"Apr 17, 2021, 7:58:06 PM",Niceeee
"Apr 18, 2021, 10:25:19 PM",Lol now I understand why you like these shoes so much
"Apr 20, 2021, 2:02:20 AM",I've given up on my cadence at this point
"Apr 20, 2021, 2:10:12 AM",Wth
"Apr 20, 2021, 2:10:39 AM",Ayyyyyyy imagine being 16 couldn't be meeeeeee
"Apr 20, 2021, 2:11:43 AM",I have to say that this route looks mega fun
"Apr 20, 2021, 7:03:02 PM",I swear 300 pacing is impossible
"Apr 20, 2021, 11:20:42 PM",Owen  Carter nah ive run like 2:23 in practice but still havent run it in a meet lol
"Apr 21, 2021, 1:22:23 AM",Bruh idk how this is possible
"Apr 23, 2021, 8:59:23 PM",Hurdles?
"Apr 23, 2021, 9:17:20 PM","Phew I was worried u were becoming a hurdler... Or worse, a sprinter"
"May 1, 2021, 7:40:04 PM",Seems legit to me
"May 2, 2021, 3:09:56 AM",I may never understand how your splits are SO negative
"May 5, 2021, 8:58:03 PM",Eh not the time I wanted
"May 5, 2021, 8:59:01 PM",You guys have made it impossible for me to delete this 'run' in good faith lol
"May 5, 2021, 9:32:54 PM",Nope 11:15 my watch dosent like tracks.  Still like a 15 sec pr but not fast enough to secure a spot in leagues unless someone drops
"May 5, 2021, 9:53:22 PM",Yeah I know I can go faster but the weather was absolute crap nobody was happy with their times yesterday
"May 6, 2021, 9:15:11 PM",Among sus
"May 8, 2021, 2:54:58 AM",THIS IS SO CONSISTENT YOU MAY HAVE VIOLATED THE SECOND LAW OF THERMODYNAMICS
"May 8, 2021, 3:00:57 PM",Dannng car show this weekend or smth?  
"May 8, 2021, 6:05:11 PM",Idk if u were there but do u remember that line of like 20 911s from like 2018 to like 1930
"May 9, 2021, 10:53:14 PM",Doug Farber uh oh... I don't want another unbeatable nccc-like segment... And thanks!
"May 10, 2021, 11:50:39 PM",Geez chill with these segments I gotta come back
"May 11, 2021, 9:02:34 PM",Yeah I ply shouldn't have esp bc I didn't even look at it bc they have a clock for once
"May 11, 2021, 9:06:32 PM",Ur lifetime average Strava pace just died
"May 15, 2021, 10:48:34 PM",Lmao I just had fun with it urs was insane today
"May 15, 2021, 11:40:52 PM",My run had ahead too
"May 15, 2021, 11:48:41 PM",Twas too easy
"May 18, 2021, 2:26:47 AM",U know it's bad when you don't expect a workout but u see coach has the five stopwatches
"May 19, 2021, 4:04:22 AM",Wth 6:00 is pushing it being safe lol
"Jun 3, 2021, 4:25:38 AM",Damn what a legend
"Jun 10, 2021, 9:03:48 PM",Me and my bike agree
"Jun 14, 2021, 1:57:46 PM",Lol I'm coming back to pgh soon so I've got just a lil bit longer than that till I see moul.
"Jun 14, 2021, 2:17:21 PM",I don't remember exactly I'll text that old gc with Jason and Andrew and Nick when we know more abt what we're doing.
"Jun 14, 2021, 8:05:59 PM",Is nick okay?
"Jun 15, 2021, 1:08:30 AM",Ah
"Jun 25, 2021, 3:04:29 PM",Lol I will be at np on Monday so...
"Jun 28, 2021, 3:34:56 PM",Wasn't that madlad christian?
"Jun 28, 2021, 3:57:37 PM",Nah unfortunately I'm leaving tmrw sorry I missed ya
"Jul 3, 2021, 7:47:35 PM",Dannng 
"Jul 11, 2021, 3:46:45 PM",Okay at first I read this as windboro and then I realized it was wdinboro so now I'm wondering if it's a typo or if I'm just missing the pun or if I'm overthinking it.
"Jul 24, 2021, 11:21:15 AM",Number 6 was brutal
"Jul 31, 2021, 2:45:42 PM",Dannng look forward to racing u at districts!
"Aug 13, 2021, 12:54:10 AM",Oof 👻
"Aug 13, 2021, 12:56:03 AM",As a fellow pgss alum I second the iq of this pace being >150
"Aug 16, 2021, 9:33:54 PM",Lol not rlly but happy with the run overall.
"Aug 17, 2021, 10:31:23 PM",Wait ur in college lol where ru
"Aug 17, 2021, 11:02:29 PM",Niceeeeee I know someone from my new school who almost went there lol
"Aug 24, 2021, 3:05:39 PM",O
"Aug 24, 2021, 3:12:17 PM",Stairs == Hillz
"Aug 24, 2021, 10:47:54 PM",Never knew gps noise looked so aesthetic
"Aug 27, 2021, 2:39:08 AM",Damn now I can't delete this run like I was planning to lmao had some painful hip muscle tension so I stopped
"Aug 27, 2021, 4:12:30 PM",Yep lol my school starts next week
"Aug 30, 2021, 11:03:23 PM",Lol yea definitely im excited for better conditions on friday
"Aug 31, 2021, 11:36:49 PM",Read murder as a verb there for a sec
"Aug 31, 2021, 11:38:12 PM",Improv run = conquest
"Sep 3, 2021, 10:36:00 PM",Ayyyyy gl tmrw gateway sucks but at least u will get it over with and have a time to improve upon lol
"Sep 8, 2021, 11:13:40 PM",Did the heat get to you or were you running a pace?
"Sep 9, 2021, 12:00:31 AM","Reasonably, not the flattest of all year tho ply a bit worse than rwb"
"Sep 9, 2021, 12:09:08 AM",Yea the hills that are there are pretty quick and most ppl out here suck at hills so I pass them :)
"Sep 9, 2021, 12:54:24 AM",Tru Tru you guys are gonna be at DeSales on Saturday right?
"Sep 12, 2021, 9:00:31 PM",Lol thx it was cool to see you glad I picked that route this morning!
"Sep 14, 2021, 11:22:09 PM",Heh?
"Sep 14, 2021, 11:22:36 PM",Oh the course yea it's whack and def has more elevation than that
"Sep 16, 2021, 3:27:50 PM",The kind that's made of cut up retread that eats your feet 
"Sep 20, 2021, 9:37:39 PM","Hmmm... Not a Wednesday, not a day off... Is coach taking you to north park on Mondays now?"
"Sep 21, 2021, 2:46:47 AM",Mmmm nice that makes a lot of sense lol
"Sep 21, 2021, 11:12:27 PM",Told u Divik Verma 
"Sep 22, 2021, 9:20:16 PM",Thx lol imma be early and say good luck at foundation
"Oct 3, 2021, 6:29:29 PM",U missed my house by like less than .1 miles haha and also I have no idea how you keep a map like this in your head lol.  Good job tho 👏👏👏
"Oct 10, 2021, 9:18:27 PM",🔥🔥🔥🔥🔥🔥🔥
"Oct 13, 2021, 7:07:46 PM",Owen  Carter  my thoughts exactly
"Oct 17, 2021, 3:17:39 AM",Yoooo I saw you guys but I was driving hahaha
"Oct 20, 2021, 12:06:12 AM",Geez Strava really dosent like you 
"Oct 21, 2021, 11:06:19 PM",Lol not really I only wrote that at like 1:00 today haha
"Oct 22, 2021, 12:20:50 AM",Dannnnng fast time on a hard course good job and good luck next week.  Hope to see you at states!!!
"Oct 24, 2021, 1:54:58 PM",Woah woah woah I think this is the first time I've seen someone full swear on Strava lmao
"Oct 28, 2021, 1:35:57 AM","I have an intense feeling of ""how did we get here?"" Lol"
"Oct 29, 2021, 12:05:54 AM",Yoooooooooooo who else is going can't wait to see you there
"Oct 29, 2021, 1:17:24 AM",One for fifth and one for team
"Oct 29, 2021, 1:17:51 AM",And yea that course will be... Interesting
"Oct 29, 2021, 1:18:16 AM",Niceeee did you guys beat NA or r they taking 2 teams
"Oct 29, 2021, 11:28:22 PM",Well Greg gave up so...
"Nov 7, 2021, 4:44:42 PM",Ayyyyyy good job!!!!
"Nov 7, 2021, 11:28:32 PM",True
"Nov 7, 2021, 11:28:41 PM",True
"Nov 9, 2021, 1:20:12 AM",Jay Benham Thanks! It was great to be able to run with other people and definitely made it way easier to push myself.  I'm definitely looking forward to future races!
"Nov 18, 2021, 10:38:40 PM",Thanks Chris Milot!!!
"Nov 19, 2021, 12:02:05 AM",Thanks!!!
"Nov 24, 2021, 4:22:13 AM",Happy birthday!
"Nov 28, 2021, 4:41:22 AM",Thanks Krystof Purtell feels good to be racing again
"Nov 28, 2021, 3:33:40 PM",Owen  Carter  thanks!
"Dec 6, 2021, 11:07:34 PM",Yoikes you've found yourselves some tanks for shoes
