Comment Date,Comment
"Nov 9, 2023, 10:39:10 PM",😰
"Nov 10, 2023, 2:12:23 AM",Can confirm that looks like a Pittsburgh staircase
"Nov 15, 2023, 1:51:33 AM",LESGOOOOOOOO
"Nov 19, 2023, 12:33:01 AM",Florida man
"Nov 19, 2023, 3:55:22 AM",Thanks! I had no idea I was even close!
"Nov 19, 2023, 6:06:05 PM",Absolutely -- maybe after Thanksgiving? 
"Nov 22, 2023, 1:26:48 AM",🤝
"Nov 22, 2023, 2:17:51 AM",Need a bigger microwave... Warm shower worked better
"Nov 23, 2023, 7:10:43 PM",Macy's day thanksgiving parade?
"Dec 3, 2023, 1:10:18 PM",I've always wondered about doing this but been unwilling to feel like crap after an all nighter.  Way to go man that's crazy
"Dec 12, 2023, 12:29:51 AM",How did both of us randomly choose today out of all days to rock climb 
"Dec 17, 2023, 4:56:12 PM",I was being chased by the ghost of Christmases past(also caffeine helps)
"Dec 17, 2023, 9:41:45 PM",This is farrrrr more impressive than my run...
"Jan 3, 2024, 9:44:34 PM",https://health.usnews.com/best-diet/best-diets-overall   Annika Urban is on the byline of like every other article. Very cool
"Jan 4, 2024, 1:23:45 PM",Wow thanks! I was trying to make some connections on the map and that makes a lot of sense.  Very neat connection for sure
