Enabled Application Name
Strava Cycling iPhone Application
Strava Cycling Android Application
Wahoo Fitness
Samsung Health
Sundays Insurance
Wandrer
Samsung Galaxy Watch
Kinomap
FITIV Pulse
Run4Gear
Myles
Snapchat
The Feed
Leaf Game
